dates,IT_GOVT,LT_GOVT,LT_CORP,US_MBS,RF
2010-11-30,1.715735356929626,2.0333890814146,1.9330583184887224,1.632785495871909,191.72
2010-12-31,1.662620573001142,1.9569245930412416,1.9215037531283818,1.6234689420573816,191.76
2011-01-31,1.6670881034187126,1.9144544151670768,1.9000842542648302,1.6242206019363508,191.77
2011-02-28,1.66171567946406,1.9365192215299465,1.9331036701174324,1.6280445418610368,191.8
2011-03-31,1.6602012899473997,1.9363967235199586,1.9253996347393898,1.632327637812639,191.83
2011-04-29,1.6869719773354375,1.9723977571224809,1.9718068786009666,1.6500707583188636,191.85
2011-05-31,1.7255304656135417,2.040553871108711,2.0191972346336455,1.667708358323753,191.86
2011-06-30,1.7203777340194344,2.0011155923755,1.9762188725192358,1.6691805062852507,191.87
2011-07-29,1.7677486410404473,2.087487899198821,2.0674825181158947,1.6847822693098344,191.86
2011-08-31,1.83486691698915,2.271270967434639,2.0841740844300713,1.705588350538865,191.88
2011-09-30,1.856648646868362,2.4945219348390384,2.1530298711183824,1.7084995679151693,191.88
2011-10-31,1.8403897494862087,2.399120209219962,2.213717564136494,1.7083635727936997,191.89
2011-11-30,1.855482905220217,2.464368571721618,2.1365613116793267,1.7114718396666504,191.89
2011-12-30,1.8811180497284405,2.54086517147517,2.225660512002812,1.723472942577923,191.89
2012-01-31,1.8983939079839822,2.539663069784128,2.275580431003772,1.7304970622787306,191.89
2012-02-29,1.8827899069789769,2.4870797072416697,2.2987609714261827,1.7320934531198229,191.89
2012-03-30,1.859234109574916,2.3933055628053133,2.231713010452234,1.733039787413032,191.91
2012-04-30,1.898793212707658,2.4968594808602593,2.286023467665698,1.7441887814301216,191.92
2012-05-31,1.9378314008452169,2.6822946056251897,2.3416517631672784,1.7495277926057804,191.94
2012-06-29,1.9306733134277339,2.645637462865863,2.3455684762458997,1.7514644713568417,191.95
2012-07-31,1.9525322484118355,2.7328140044952236,2.4770101033815957,1.7654452472403521,191.96
2012-08-31,1.952476956482036,2.703522540284144,2.465014544356554,1.7673433474741456,191.97
2012-09-28,1.9499060589246697,2.6503100674548876,2.4748609729068844,1.7708293937889577,191.99
2012-10-31,1.9435382835981057,2.647099667672545,2.535080852185181,1.7677712907675973,192.0
2012-11-30,1.9601376862730766,2.682137012089778,2.510992519898469,1.7645463538082398,192.02
2012-12-31,1.9479599607797484,2.629198084758058,2.5000135981653355,1.7667743022850741,192.04
2013-01-31,1.9245721905135855,2.537137285489505,2.4427800867972187,1.7579353169233067,192.04
2013-02-28,1.9435051473957177,2.5690797231108307,2.4661508377309107,1.7638936563126082,192.04
2013-03-29,1.9498373537383642,2.566207417820853,2.453471509722902,1.7656730286836992,192.07
2013-04-30,1.9718672446384418,2.668663087106331,2.551560788911393,1.7749722293308936,192.08
2013-05-31,1.9199417138405486,2.502068322906847,2.428008210571801,1.7476647813156865,192.09
2013-06-28,1.8795340967629812,2.4227091979003017,2.3123060322377724,1.730854449286048,192.09
2013-07-31,1.87618879535347,2.37762834293148,2.3380725171346564,1.729207135757709,192.1
2013-08-30,1.857442431197253,2.359707182858167,2.313282289720331,1.7241737138698767,192.11
2013-09-30,1.8851820689240386,2.368446743795359,2.3131461836794385,1.748448603007476,192.11
2013-10-31,1.8998404728064204,2.399974345370549,2.370126577387157,1.760360932684737,192.11
2013-11-29,1.8891188753601322,2.3406708407853047,2.3467691021731647,1.749313708329326,192.12
2013-12-31,1.8559017081468017,2.295224066371747,2.3567823150555807,1.74096887481032,192.13
2014-01-31,1.8955123361616313,2.4221357396015177,2.43746075544135,1.768186167862551,192.13
2014-02-28,1.9026957258993689,2.442033914031883,2.4860547662447265,1.7741809818011591,192.14
2014-03-31,1.8888682005681725,2.4579768355767575,2.5018553154429846,1.768377247691533,192.15
2014-04-30,1.9027351125690044,2.5070761771472125,2.5577833119395788,1.784732181774229,192.15
2014-05-30,1.931906643166072,2.5791817243469954,2.6150560777808742,1.8062074105869435,192.15
2014-06-30,1.9273074712618727,2.5733881245924675,2.62081135372983,1.810849214455512,192.16
2014-07-31,1.919462513697586,2.5874361956512533,2.6253574026110735,1.8001304489780237,192.17
2014-08-29,1.9467760868655382,2.692406642146575,2.7011448923839025,1.8169900280257303,192.17
2014-09-30,1.9301746281318763,2.642386419582358,2.62263612829248,1.814055073497403,192.17
2014-10-31,1.9558574582413701,2.714929998057777,2.670402085253097,1.83152351795661,192.18
2014-11-28,1.9770487349054993,2.7900594138238533,2.697549411051373,1.843515892962838,192.18
2014-12-31,1.974637473665817,2.869972832100197,2.7267696016437974,1.846366308914279,192.18
2015-01-30,2.0401124904048773,3.1156116419956494,2.8789931089206857,1.862034220278944,192.18
2015-02-27,2.0019496442460625,2.9489946083316156,2.81237331530487,1.859005653330538,192.18
2015-03-31,2.019570399459124,2.983597178459641,2.816487031537273,1.8658879076343464,192.18
2015-04-30,2.0113041201321376,2.890719729129339,2.7518815848063958,1.8665690555606547,192.19
2015-05-29,2.0102840244444944,2.8448112028784416,2.698182040125273,1.8661377650544522,192.19
2015-06-30,1.9866827196712906,2.7357709516393816,2.597889537302049,1.8519051783497724,192.19
2015-07-31,2.0061109057223168,2.8315744588016187,2.63918456719096,1.863578149658947,192.19
2015-08-31,2.0102260107816297,2.8308784534329443,2.606707475052412,1.8650563321880314,192.2
2015-09-30,2.037257142903728,2.8744785679432323,2.626345588449965,1.8759599144066632,192.2
2015-10-30,2.0251557269794263,2.858790756391162,2.647192078018272,1.8771974663007813,192.2
2015-11-30,2.0165317294241776,2.8353447648092436,2.6339239476135683,1.8746473593674469,192.2
2015-12-31,2.0103285457732065,2.8344307115874035,2.600478541587808,1.8737453499645085,192.23
2016-01-29,2.0676737875839173,2.976833231892804,2.5982862055969305,1.8980613225183154,192.23
2016-02-29,2.089897910231285,3.0647626671681496,2.6410810403332623,1.9046543176576338,192.28
2016-03-31,2.091129972741282,3.0636383638201523,2.776417564990138,1.90959319522349,192.35
2016-04-29,2.089043305819152,3.0478274876108418,2.8476083845616977,1.9123868367079753,192.38
2016-05-31,2.0858614994617883,3.0716799595654787,2.8447698728073445,1.9146608161234675,192.4
2016-06-30,2.1378897781124593,3.2594378188214965,2.9592933044126,1.9297196164285424,192.45
2016-07-29,2.142029694265204,3.3318595448875743,3.0488800664170514,1.9332698242954167,192.49
2016-08-31,2.1246214999273993,3.299365293997283,3.0631746513686737,1.9349956421746284,192.54
2016-09-30,2.127430719062753,3.2452198396606806,3.0325580943412827,1.9397178557886812,192.6
2016-10-31,2.103345110784765,3.1121839305077876,2.9718083580163435,1.9342160012321894,192.64
2016-11-30,2.031823569622652,2.880808845251663,2.8327429266934074,1.9007828263629254,192.67
2016-12-30,2.028785705707933,2.864561525139684,2.8783947179058003,1.9001628396857662,192.73
2017-01-31,2.032474906350251,2.8746400144819075,2.8807832782123937,1.8987289794917417,192.81
2017-02-28,2.0442955704979293,2.9182424251159627,2.93728869934967,1.9070252334776765,192.89
